offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Ole Miss,SEC,Tulane,American Athletic,401779842,4017798422,1,True,1,25,75,"{'seconds': 0, 'minutes': 15}",1,97,3,"{'seconds': 1, 'minutes': 14}","{'seconds': 59, 'minutes': 0}",3,75,TD,True,0,0,7,0
Tulane,American Athletic,Ole Miss,SEC,401779842,4017798424,2,False,1,75,75,"{'seconds': 1, 'minutes': 14}",1,40,40,"{'seconds': 47, 'minutes': 8}","{'seconds': 14, 'minutes': 5}",10,52,INT,False,0,7,0,7
Ole Miss,SEC,Tulane,American Athletic,401779842,4017798425,3,True,1,40,60,"{'seconds': 38, 'minutes': 8}",1,97,3,"{'seconds': 26, 'minutes': 7}","{'seconds': 21, 'minutes': 1}",4,60,TD,True,7,0,14,0
Tulane,American Athletic,Ole Miss,SEC,401779842,4017798427,4,False,1,75,75,"{'seconds': 26, 'minutes': 7}",1,37,37,"{'seconds': 8, 'minutes': 3}","{'seconds': 18, 'minutes': 4}",8,38,DOWNS,False,0,14,0,14
Ole Miss,SEC,Tulane,American Athletic,401779842,4017798428,5,False,1,37,63,"{'seconds': 59, 'minutes': 2}",1,38,62,"{'seconds': 5, 'minutes': 1}","{'seconds': 3, 'minutes': 2}",3,1,PUNT,True,14,0,14,0
Tulane,American Athletic,Ole Miss,SEC,401779842,4017798429,6,True,1,82,82,"{'seconds': 55, 'minutes': 0}",2,21,21,"{'seconds': 6, 'minutes': 14}","{'seconds': 59, 'minutes': 1}",5,61,FG,False,0,14,3,14
Ole Miss,SEC,Tulane,American Athletic,401779842,40177984211,7,False,2,25,75,"{'seconds': 6, 'minutes': 14}",2,40,60,"{'seconds': 1, 'minutes': 12}","{'seconds': 5, 'minutes': 2}",6,15,PUNT,True,14,3,14,3
Tulane,American Athletic,Ole Miss,SEC,401779842,40177984212,8,False,2,81,81,"{'seconds': 54, 'minutes': 11}",2,48,48,"{'seconds': 18, 'minutes': 8}","{'seconds': 43, 'minutes': 3}",7,33,PUNT,False,3,14,3,14
Ole Miss,SEC,Tulane,American Athletic,401779842,40177984213,9,True,2,13,87,"{'seconds': 11, 'minutes': 8}",2,75,25,"{'seconds': 38, 'minutes': 3}","{'seconds': 40, 'minutes': 4}",11,62,FG,True,14,3,17,3
Tulane,American Athletic,Ole Miss,SEC,401779842,40177984215,10,False,2,67,67,"{'seconds': 31, 'minutes': 3}",2,65,65,"{'seconds': 53, 'minutes': 1}","{'seconds': 38, 'minutes': 1}",3,2,PUNT,False,3,17,3,17
Ole Miss,SEC,Tulane,American Athletic,401779842,40177984216,11,False,2,24,76,"{'seconds': 40, 'minutes': 1}",2,85,15,"{'seconds': 20, 'minutes': 0}","{'seconds': 38, 'minutes': 1}",7,61,FUMBLE,True,17,3,17,3
Tulane,American Athletic,Ole Miss,SEC,401779842,40177984217,12,False,2,85,85,"{'seconds': 9, 'minutes': 0}",2,58,58,"{'seconds': 2, 'minutes': 0}","{'seconds': 15, 'minutes': 0}",4,27,END OF HALF,False,3,17,3,17
Tulane,American Athletic,Ole Miss,SEC,401779842,40177984219,13,False,3,75,75,"{'seconds': 0, 'minutes': 15}",3,43,43,"{'seconds': 4, 'minutes': 13}","{'seconds': 56, 'minutes': 1}",6,32,PUNT,False,3,17,3,17
Ole Miss,SEC,Tulane,American Athletic,401779842,40177984220,14,True,3,20,80,"{'seconds': 53, 'minutes': 12}",3,97,3,"{'seconds': 13, 'minutes': 10}","{'seconds': 51, 'minutes': 2}",7,80,TD,True,17,3,24,3
Tulane,American Athletic,Ole Miss,SEC,401779842,40177984222,15,False,3,75,75,"{'seconds': 13, 'minutes': 10}",3,53,53,"{'seconds': 44, 'minutes': 6}","{'seconds': 29, 'minutes': 3}",7,22,DOWNS,False,3,24,3,24
Ole Miss,SEC,Tulane,American Athletic,401779842,40177984223,16,True,3,53,47,"{'seconds': 38, 'minutes': 6}",3,69,31,"{'seconds': 57, 'minutes': 4}","{'seconds': 47, 'minutes': 1}",6,16,FG,True,24,3,27,3
Tulane,American Athletic,Ole Miss,SEC,401779842,40177984225,17,False,3,75,75,"{'seconds': 57, 'minutes': 4}",3,48,48,"{'seconds': 31, 'minutes': 3}","{'seconds': 26, 'minutes': 1}",4,27,DOWNS,False,3,27,3,27
Ole Miss,SEC,Tulane,American Athletic,401779842,40177984226,18,True,3,48,52,"{'seconds': 26, 'minutes': 3}",4,97,3,"{'seconds': 55, 'minutes': 14}","{'seconds': 7, 'minutes': 3}",8,52,TD,True,27,3,34,3
Tulane,American Athletic,Ole Miss,SEC,401779842,40177984228,19,False,4,75,75,"{'seconds': 55, 'minutes': 14}",4,71,71,"{'seconds': 30, 'minutes': 13}","{'seconds': 33, 'minutes': 1}",4,4,FUMBLE,False,3,34,3,34
Ole Miss,SEC,Tulane,American Athletic,401779842,40177984229,20,True,4,71,29,"{'seconds': 5, 'minutes': 13}",4,97,3,"{'seconds': 45, 'minutes': 10}","{'seconds': 37, 'minutes': 2}",5,29,TD,True,34,3,41,3
Tulane,American Athletic,Ole Miss,SEC,401779842,40177984231,21,False,4,75,75,"{'seconds': 45, 'minutes': 10}",4,27,27,"{'seconds': 25, 'minutes': 7}","{'seconds': 20, 'minutes': 3}",10,48,DOWNS,False,3,41,3,41
Ole Miss,SEC,Tulane,American Athletic,401779842,40177984232,22,False,4,27,73,"{'seconds': 9, 'minutes': 7}",4,34,66,"{'seconds': 3, 'minutes': 6}","{'seconds': 22, 'minutes': 1}",3,7,PUNT,True,41,3,41,3
Tulane,American Athletic,Ole Miss,SEC,401779842,40177984233,23,True,4,80,80,"{'seconds': 48, 'minutes': 5}",4,3,3,"{'seconds': 0, 'minutes': 4}","{'seconds': 3, 'minutes': 2}",4,80,TD,False,3,41,10,41
Ole Miss,SEC,Tulane,American Athletic,401779842,40177984235,24,False,4,25,75,"{'seconds': 0, 'minutes': 0}",4,68,32,"{'seconds': 0, 'minutes': 0}","{'seconds': 12, 'minutes': 2}",4,43,Uncategorized,True,41,10,41,10
